Date,Close,Open,High,Low
2014-09-03,2000.72,2003.57,2009.28,1998.14
2014-09-04,1997.65,2001.67,2011.17,1992.54
2014-09-05,2007.71,1998,2007.71,1990.1
2014-09-08,2001.54,2007.17,2007.17,1995.6
2014-09-09,1988.44,2000.73,2001.01,1984.61
2014-09-10,1995.69,1988.41,1996.66,1982.99
2014-09-11,1997.45,1992.85,1997.65,1985.93
2014-09-12,1985.54,1996.74,1996.74,1980.26
2014-09-15,1984.13,1986.04,1987.18,1978.48
2014-09-16,1998.98,1981.93,2002.28,1979.06
2014-09-17,2001.57,1999.3,2010.74,1993.29
2014-09-18,2011.36,2003.07,2012.34,2003.07
2014-09-19,2010.4,2012.74,2019.26,2006.59
2014-09-22,1994.29,2009.08,2009.08,1991.01
2014-09-23,1982.77,1992.78,1995.41,1982.77
2014-09-24,1998.3,1983.34,1999.79,1978.63
2014-09-25,1965.99,1997.32,1997.32,1965.99
2014-09-26,1982.85,1966.22,1986.37,1966.22
2014-09-29,1977.8,1978.96,1981.28,1964.04
2014-09-30,1972.29,1978.21,1985.17,1968.96
2014-10-01,1946.16,1971.44,1971.44,1941.72
2014-10-02,1946.17,1945.83,1952.32,1926.03
2014-10-03,1967.9,1948.12,1971.19,1948.12
2014-10-06,1964.82,1970.01,1977.84,1958.43
2014-10-07,1935.1,1962.36,1962.36,1934.87
2014-10-08,1968.89,1935.55,1970.36,1925.25
2014-10-09,1928.21,1967.68,1967.68,1927.56
2014-10-10,1906.13,1925.63,1936.98,1906.05
2014-10-13,1874.74,1905.65,1912.09,1874.14
2014-10-14,1877.7,1877.11,1898.71,1871.79
2014-10-15,1862.49,1874.18,1874.18,1820.66
2014-10-16,1862.76,1855.95,1876.01,1835.02
2014-10-17,1886.76,1864.91,1898.16,1864.91
2014-10-20,1904.01,1885.62,1905.03,1882.3
2014-10-21,1941.28,1909.38,1942.45,1909.38
2014-10-22,1927.11,1941.29,1949.31,1926.83
2014-10-23,1950.82,1931.02,1961.95,1931.02
2014-10-24,1964.58,1951.59,1965.27,1946.27
2014-10-27,1961.63,1962.97,1964.64,1951.37
2014-10-28,1985.05,1964.14,1985.05,1964.14
2014-10-29,1982.3,1983.29,1991.4,1969.04
2014-10-30,1994.65,1979.49,1999.4,1974.75
2014-10-31,2018.05,2001.2,2018.19,2001.2
2014-11-03,2017.81,2018.21,2024.46,2013.68
2014-11-04,2012.1,2015.81,2015.98,2001.01
2014-11-05,2023.57,2015.29,2023.77,2014.42
2014-11-06,2031.21,2023.33,2031.61,2015.86
2014-11-07,2031.92,2032.36,2034.26,2025.07
2014-11-10,2038.26,2032.01,2038.7,2030.17
2014-11-11,2039.68,2038.2,2041.28,2035.28
2014-11-12,2038.25,2037.75,2040.33,2031.95
2014-11-13,2039.33,2039.21,2046.18,2030.44
2014-11-14,2039.82,2039.74,2042.22,2035.2
2014-11-17,2041.32,2038.29,2043.07,2034.46
2014-11-18,2051.8,2041.48,2056.08,2041.48
2014-11-19,2048.72,2051.16,2052.14,2040.37
2014-11-20,2052.75,2045.87,2053.84,2040.49
2014-11-21,2063.5,2057.46,2071.46,2056.75
2014-11-24,2069.41,2065.07,2070.17,2065.07
2014-11-25,2067.03,2070.15,2074.21,2064.75
2014-11-26,2072.83,2067.36,2073.29,2066.62
2014-11-28,2067.56,2074.78,2075.76,2065.06
2014-12-01,2053.44,2065.78,2065.78,2049.57
2014-12-02,2066.55,2053.77,2068.77,2053.77
2014-12-03,2074.33,2067.45,2076.28,2066.65
2014-12-04,2071.92,2073.64,2077.34,2062.34
2014-12-05,2075.37,2072.78,2079.47,2070.81
2014-12-08,2060.31,2074.84,2075.78,2054.27
2014-12-09,2059.82,2056.55,2060.6,2034.17
2014-12-10,2026.14,2058.86,2058.86,2024.26
2014-12-11,2035.33,2027.92,2055.53,2027.92
2014-12-12,2002.33,2030.36,2032.25,2002.33
2014-12-15,1989.63,2005.03,2018.69,1982.26
2014-12-16,1972.74,1986.71,2016.89,1972.56
2014-12-17,2012.89,1973.77,2016.75,1973.77
2014-12-18,2061.23,2018.98,2061.23,2018.98
2014-12-19,2070.65,2061.04,2077.85,2061.03
2014-12-22,2078.54,2069.28,2078.76,2069.28
2014-12-23,2082.17,2081.48,2086.73,2079.77
2014-12-24,2081.88,2083.25,2087.56,2081.86
2014-12-26,2088.77,2084.3,2092.7,2084.3
2014-12-29,2090.57,2087.63,2093.55,2085.75
2014-12-30,2080.35,2088.49,2088.49,2079.53
